Activity,concept:name,case:concept:name,concept:e_attr_1,concept:e_attr_2,time:timestamp,case:concept:name
7,7A,2,-1.331446299,-1.455934234,2021/4/1 7:12,7AA
1,1A,2,-1.840144716,-0.420919493,2021/4/1 8:24,1AA
2,2A,2,-0.039226958,-0.973472585,2021/4/1 10:41,2AA
7,7A,1,-0.874071437,-0.144917171,2021/4/1 4:06,7AA
1,1A,1,-0.25666481,1.101495779,2021/4/1 6:21,1AA
7,7A,3,-0.410780098,-0.166574438,2021/4/1 3:28,7AA
1,1A,3,0.339252944,-0.622902468,2021/4/1 6:42,1AA
2,2A,3,-1.166282822,-0.855278041,2021/4/1 7:51,2AA
3,3A,3,-0.352211625,-0.661711138,2021/4/1 11:37,3AA
4,4A,3,-0.396841525,-1.07911924,2021/4/1 13:11,4AA
5,5A,3,-1.457614641,-0.284987118,2021/4/1 13:47,5AA
6,6A,3,0.087847623,0.322492135,2021/4/1 15:36,6AA
7,7A,4,-2.877213201,0.696591514,2021/4/1 4:44,7AA
1,1A,4,-1.024881496,-0.48881067,2021/4/1 5:01,1AA
2,2A,4,-0.749442083,-0.464947589,2021/4/1 9:05,2AA
3,3A,4,0.922609607,-2.52137649,2021/4/1 11:34,3AA
7,7A,7,-1.361579255,0.404487144,2021/4/1 4:53,7AA
1,1A,7,-1.637971026,-1.811058773,2021/4/1 7:29,1AA
7,7A,9,-0.933421565,-0.006379862,2021/4/1 5:08,7AA
1,1A,9,-2.725745996,-1.386889632,2021/4/1 6:24,1AA
2,2A,9,-1.568829414,-1.357180876,2021/4/1 7:45,2AA
3,3A,9,-3.623850455,-0.723245825,2021/4/1 8:11,3AA
7,7A,10,-1.806112037,-2.145272695,2021/4/1 7:19,7AA
7,7A,11,0.280687152,-2.286411363,2021/4/1 1:53,7AA
1,1A,11,-0.140348509,-0.623202078,2021/4/1 4:44,1AA
7,7A,12,-1.898352434,-1.288031705,2021/4/1 1:41,7AA
7,7A,13,-1.638982879,-0.225026723,2021/4/1 3:20,7AA
1,1A,13,-0.624149558,-0.676447053,2021/4/1 5:50,1AA
7,7A,14,-1.196486057,-2.410611983,2021/4/1 15:13,7AA
7,7A,15,-1.161021886,-0.312757433,2021/4/1 4:00,7AA
7,7A,16,-1.880776792,-0.20085801,2021/4/1 2:44,7AA
1,1A,16,-1.711272761,-1.428355076,2021/4/1 3:18,1AA
2,2A,16,-2.34898071,1.47169743,2021/4/1 6:01,2AA
7,7A,17,-0.812001693,-0.481631351,2021/4/1 3:02,7AA
